"source","source_incident_id","occurred_at","fetched_at","lat","lon","nature","disposition","address","city","geocoded_at","geocode_quality","status","raw","geocode_attempts","geocode_locked_by","geocode_locked_at","last_changed"
"lee_county","26-356861","2026-07-03 13:36:45+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","07C-TURNED OVER TO CCPD","636 DEL PRADO BLVD S","CAPE CORAL",,,,"{""id"": ""26-356861"", ""city"": ""CAPE CORAL"", ""nature"": ""DISTURBANCE"", ""address"": ""636 DEL PRADO BLVD S"", ""disposition"": ""07C-TURNED OVER TO CCPD"", ""occuredDate"": ""2026-07-03 09:36:45.0000000"", ""incidentNumber"": ""26-356861""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356831","2026-07-03 13:19:48+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","4112 2ND ST SW","LEHIGH ACRES",,,,"{""id"": ""26-356831"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""4112 2ND ST SW"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 09:19:48.0000000"", ""incidentNumber"": ""26-356831""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356828","2026-07-03 13:17:47+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC VIOLENCE","01-ARREST","914 SARA AVE N","LEHIGH ACRES",,,,"{""id"": ""26-356828"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DOMESTIC VIOLENCE"", ""address"": ""914 SARA AVE N"", ""disposition"": ""01-ARREST"", ""occuredDate"": ""2026-07-03 09:17:47.0000000"", ""incidentNumber"": ""26-356828""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356820","2026-07-03 13:13:00+00","2026-07-06 16:53:21.588848+00",,,"GRAND THEFT","08-REPORT TAKEN","7460 LAKE BREEZE DR","FORT MYERS",,,,"{""id"": ""26-356820"", ""city"": ""FORT MYERS"", ""nature"": ""GRAND THEFT"", ""address"": ""7460 LAKE BREEZE DR"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 09:13:00.0000000"", ""incidentNumber"": ""26-356820""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356784","2026-07-03 12:56:38+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","05-HANDLED BY DEPUTY","10722 EVERGLADES KITE CIR","ESTERO",,,,"{""id"": ""26-356784"", ""city"": ""ESTERO"", ""nature"": ""ANIMAL"", ""address"": ""10722 EVERGLADES KITE CIR"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 08:56:38.0000000"", ""incidentNumber"": ""26-356784""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356776","2026-07-03 12:54:37+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","5430 HARBOUR CASTLE DR","FORT MYERS",,,,"{""id"": ""26-356776"", ""city"": ""FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""5430 HARBOUR CASTLE DR"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 08:54:37.0000000"", ""incidentNumber"": ""26-356776""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-802354","2026-07-03 12:48:00+00","2026-07-06 16:53:21.588848+00",,,"IDENTITY THEFT","C08-REPORT TAKEN - COPLOGIC","14640 DUKE HWY","ALVA",,,,"{""id"": ""26-802354"", ""city"": ""ALVA"", ""nature"": ""IDENTITY THEFT"", ""address"": ""14640 DUKE HWY"", ""disposition"": ""C08-REPORT TAKEN - COPLOGIC"", ""occuredDate"": ""2026-07-03 08:48:00.0000000"", ""incidentNumber"": ""26-802354""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356757","2026-07-03 12:43:48+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","914 SARA AVE N","LEHIGH ACRES",,,,"{""id"": ""26-356757"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""914 SARA AVE N"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 08:43:48.0000000"", ""incidentNumber"": ""26-356757""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356704","2026-07-03 12:03:12+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","1500 LEE BLVD","LEHIGH ACRES",,,,"{""id"": ""26-356704"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""1500 LEE BLVD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 08:03:12.0000000"", ""incidentNumber"": ""26-356704""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356688","2026-07-03 11:50:00+00","2026-07-06 16:53:21.588848+00",,,"THEFT MISD","05-HANDLED BY DEPUTY","8046 MATANZAS RD","FORT MYERS",,,,"{""id"": ""26-356688"", ""city"": ""FORT MYERS"", ""nature"": ""THEFT MISD"", ""address"": ""8046 MATANZAS RD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 07:50:00.0000000"", ""incidentNumber"": ""26-356688""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356679","2026-07-03 11:45:09+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","5521 SIXTH AVE","FORT MYERS",,,,"{""id"": ""26-356679"", ""city"": ""FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""5521 SIXTH AVE"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 07:45:09.0000000"", ""incidentNumber"": ""26-356679""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356618","2026-07-03 10:55:40+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","237 STATE ST","NORTH FORT MYERS",,,,"{""id"": ""26-356618"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""237 STATE ST"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 06:55:40.0000000"", ""incidentNumber"": ""26-356618""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356570","2026-07-03 10:08:38+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC VIOLENCE","01-ARREST","5959 WINKLER RD","FORT MYERS",,,,"{""id"": ""26-356570"", ""city"": ""FORT MYERS"", ""nature"": ""DOMESTIC VIOLENCE"", ""address"": ""5959 WINKLER RD"", ""disposition"": ""01-ARREST"", ""occuredDate"": ""2026-07-03 06:08:38.0000000"", ""incidentNumber"": ""26-356570""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
